City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,caravelas,-17.7125,-39.2481,29.53,53,4,4.27,BR,1679941592
117,morwell,-38.2333,146.4,16.33,100,99,0.15,AU,1679941922
118,muisne,0.6,-80.0333,27.49,69,100,1.52,EC,1679941926
119,leningradskiy,69.3833,178.4167,-21.79,81,97,4.01,RU,1679941401
120,severo-kurilsk,50.6789,156.125,0.14,99,100,8.42,RU,1679941376
121,okhotsk,59.3833,143.3,-17.56,100,79,1.69,RU,1679941356
122,ginda,30.6945,78.4932,7.29,69,0,3.33,IN,1679941927
123,clyde river,70.4692,-68.5914,-24.87,84,20,1.03,CA,1679941443
124,gat,31.61,34.7642,17.12,100,0,2.81,IL,1679941803
125,puerto escondido,15.85,-97.0667,29.46,74,0,3.09,MX,1679941657
126,pevek,69.7008,170.3133,-22.48,86,100,5.64,RU,1679941928
127,cherskiy,68.75,161.3,-22.81,88,17,4.95,RU,1679941529
128,port macquarie,-31.4333,152.9167,18.83,91,95,2.27,AU,1679941427
129,joacaba,-27.1781,-51.5047,28.97,27,0,1.31,BR,1679941928
130,east london,-33.0153,27.9116,14.52,88,0,2.06,ZA,1679941364
131,acarau,-2.8856,-40.12,27.77,75,45,3.65,BR,1679941929
132,colares,38.7992,-9.4469,21.55,44,0,3.6,PT,1679941929
133,vilyuysk,63.7553,121.6247,0.56,98,100,4.84,RU,1679941930
134,baghmara,23.795,86.2085,26.22,27,9,2.42,IN,1679941930
135,pareora,-44.4871,171.2132,7.88,95,100,11.72,NZ,1679941931
136,chuy,-33.6971,-53.4616,23.74,49,0,2.77,UY,1679941396
137,peniche,39.3558,-9.3811,18.93,63,100,2.62,PT,1679941932
138,lompoc,34.6391,-120.4579,16.96,40,40,0.45,US,1679941377
139,brae,60.3964,-1.353,1.56,95,99,7.21,GB,1679941563
140,antalaha,-14.9003,50.2788,24.91,91,55,3.17,MG,1679941688
141,koulamoutou,-1.1303,12.4736,22.49,92,82,0.59,GA,1679941934
